
Whole ,175.719, likelihood, 91.1583, NDF,176
Func0Chi,215.751, likelihood, 109.074, NDF,177
Func1Chi,207.647, likelihood, 106.644, NDF,177
Func2Chi,179.893, likelihood, 92.2173, NDF,177
Func3Chi,192.092, likelihood, 100.099, NDF,177
Func4Chi,265.367, likelihood, 135.432, NDF,177

Whole ,164.903, likelihood, 86.5557, NDF,177
Func5Chi,181.325, likelihood, 99.8377, NDF,178
Func6Chi,181.607, likelihood, 116.601, NDF,178
Func7Chi,186.233, likelihood, 95.2364, NDF,178
Func8Chi,167.517, likelihood, 88.8307, NDF,178
