
Whole ,221.681, likelihood, 102.868, NDF,176
Func0Chi,250.159, likelihood, 119.406, NDF,177
Func1Chi,259.516, likelihood, 120.416, NDF,177
Func2Chi,252.419, likelihood, 111.429, NDF,177
Func3Chi,235.915, likelihood, 108.305, NDF,177
Func4Chi,326.225, likelihood, 155.289, NDF,177

Whole ,196.753, likelihood, 92.0622, NDF,177
Func5Chi,220.906, likelihood, 99.5518, NDF,178
Func6Chi,226.31, likelihood, 122.523, NDF,178
Func7Chi,217.674, likelihood, 105.323, NDF,178
Func8Chi,202.038, likelihood, 94.1841, NDF,178
