
Whole ,264.547, likelihood, 102.509, NDF,176
Func0Chi,290.524, likelihood, 116.841, NDF,177
Func1Chi,310.204, likelihood, 118.61, NDF,177
Func2Chi,273.495, likelihood, 104.147, NDF,177
Func3Chi,266.558, likelihood, 105.621, NDF,177
Func4Chi,343.376, likelihood, 140.661, NDF,177

Whole ,202.048, likelihood, 97.5664, NDF,177
Func5Chi,197.975, likelihood, 110.355, NDF,178
Func6Chi,225.883, likelihood, 108.94, NDF,178
Func7Chi,212.477, likelihood, 100.225, NDF,178
Func8Chi,207.809, likelihood, 101.627, NDF,178
