
Whole ,227.648, likelihood, 107.638, NDF,176
Func0Chi,256.327, likelihood, 126.347, NDF,177
Func1Chi,256.901, likelihood, 121.486, NDF,177
Func2Chi,237.092, likelihood, 109.546, NDF,177
Func3Chi,225.817, likelihood, 111.09, NDF,177
Func4Chi,329.213, likelihood, 161.824, NDF,177

Whole ,175.253, likelihood, 101.319, NDF,177
Func5Chi,201.155, likelihood, 110.696, NDF,178
Func6Chi,204.49, likelihood, 131.76, NDF,178
Func7Chi,191.957, likelihood, 109.372, NDF,178
Func8Chi,192.08, likelihood, 107.629, NDF,178
